iteration, destination,2->3,4->5,1->2,3->4,0->1,0->5,
75,5,1.248471931123787,1.248471931123787,1.248471931123787,1.248471931123787,1.248471931123787,1.148698354997035,
76,5,1.248471931123787,1.248471931123787,1.248471931123787,1.248471931123787,1.248471931123787,1.174618943088019,
77,5,1.2511598097475969,1.2511598097475969,1.2511598097475969,1.2511598097475969,1.2511598097475969,1.174618943088019,
78,5,1.2511598097475969,1.2511598097475969,1.2511598097475969,1.2511598097475969,1.2511598097475969,1.1962311988513155,
79,5,1.2511598097475969,1.2511598097475969,1.2511598097475969,1.2511598097475969,1.2511598097475969,1.214814044039067,
80,5,1.2537967024973569,1.2537967024973569,1.2537967024973569,1.2537967024973569,1.2537967024973569,1.214814044039067,
81,5,1.2537967024973569,1.2537967024973569,1.2537967024973569,1.2537967024973569,1.2537967024973569,1.2311444133449163,
82,5,1.2563846090501594,1.2563846090501594,1.2563846090501594,1.2563846090501594,1.2563846090501594,1.2311444133449163,
83,5,1.2589254117941673,1.2589254117941673,1.2589254117941673,1.2589254117941673,1.2589254117941673,1.2311444133449163,
84,5,1.2589254117941673,1.2589254117941673,1.2589254117941673,1.2589254117941673,1.2589254117941673,1.2457309396155174,
85,5,1.2589254117941673,1.2589254117941673,1.2589254117941673,1.2589254117941673,1.2589254117941673,1.2589254117941673,
86,5,1.2614208848972142,1.2614208848972142,1.2614208848972142,1.2614208848972142,1.2614208848972142,1.2589254117941673,
87,5,1.2614208848972142,1.2614208848972142,1.2614208848972142,1.2614208848972142,1.2614208848972142,1.2709816152101405,
88,5,1.2638727025115426,1.2638727025115426,1.2638727025115426,1.2638727025115426,1.2638727025115426,1.2709816152101405,
89,5,1.2662824462118785,1.2662824462118785,1.2662824462118785,1.2662824462118785,1.2662824462118785,1.2709816152101405,
90,5,1.268651611751489,1.268651611751489,1.268651611751489,1.268651611751489,1.268651611751489,1.2709816152101405,
91,5,1.268651611751489,1.268651611751489,1.268651611751489,1.268651611751489,1.268651611751489,1.2820888539868154,
92,5,1.2709816152101405,1.2709816152101405,1.2709816152101405,1.2709816152101405,1.2709816152101405,1.2820888539868154,
93,5,1.2709816152101405,1.2709816152101405,1.2709816152101405,1.2709816152101405,1.2709816152101405,1.2923922207808318,
94,5,1.2732737985986746,1.2732737985986746,1.2732737985986746,1.2732737985986746,1.2732737985986746,1.2923922207808318,
95,5,1.275529434977006,1.275529434977006,1.275529434977006,1.275529434977006,1.275529434977006,1.2923922207808318,
96,5,1.275529434977006,1.275529434977006,1.275529434977006,1.275529434977006,1.275529434977006,1.3020054543174677,
97,5,1.277749733135526,1.277749733135526,1.277749733135526,1.277749733135526,1.277749733135526,1.3020054543174677,
98,5,1.0183993761470242,1.0183993761470242,1.0183993761470242,1.0183993761470242,1.0183993761470242,1.0,
99,5,1.0342196941293802,1.0342196941293802,1.0342196941293802,1.0342196941293802,1.0342196941293802,1.0,
100,5,1.0342196941293802,1.0342196941293802,1.0342196941293802,1.0342196941293802,1.0342196941293802,1.0717734625362931,
101,5,1.0342196941293802,1.0342196941293802,1.0342196941293802,1.0342196941293802,1.0342196941293802,1.1161231740339044,
102,5,1.0481223894689577,1.0481223894689577,1.0481223894689577,1.0481223894689577,1.0481223894689577,1.1161231740339044,
103,5,1.0481223894689577,1.0481223894689577,1.0481223894689577,1.0481223894689577,1.0481223894689577,1.148698354997035,
104,5,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.148698354997035,
105,5,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.174618943088019,
106,5,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.1962311988513155,
107,5,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.214814044039067,
108,5,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.2311444133449163,
109,5,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.0605404816140187,1.2457309396155174,
110,5,1.0717734625362931,1.0717734625362931,1.0717734625362931,1.0717734625362931,1.0717734625362931,1.2457309396155174,
111,5,1.0820373898183429,1.0820373898183429,1.0820373898183429,1.0820373898183429,1.0820373898183429,1.2457309396155174,
112,5,1.0820373898183429,1.0820373898183429,1.0820373898183429,1.0820373898183429,1.0820373898183429,1.2589254117941673,
113,5,1.091493425617897,1.091493425617897,1.091493425617897,1.091493425617897,1.091493425617897,1.2589254117941673,
114,5,1.091493425617897,1.091493425617897,1.091493425617897,1.091493425617897,1.091493425617897,1.2709816152101405,
115,5,1.091493425617897,1.091493425617897,1.091493425617897,1.091493425617897,1.091493425617897,1.2820888539868154,
116,5,1.100265093106018,1.100265093106018,1.100265093106018,1.100265093106018,1.100265093106018,1.2820888539868154,
117,5,1.100265093106018,1.100265093106018,1.100265093106018,1.100265093106018,1.100265093106018,1.2923922207808318,
118,5,1.100265093106018,1.100265093106018,1.100265093106018,1.100265093106018,1.100265093106018,1.3020054543174677,
119,5,1.108449222600272,1.108449222600272,1.108449222600272,1.108449222600272,1.108449222600272,1.3020054543174677,
120,5,1.108449222600272,1.108449222600272,1.108449222600272,1.108449222600272,1.108449222600272,1.3110194230397498,
121,5,1.1161231740339044,1.1161231740339044,1.1161231740339044,1.1161231740339044,1.1161231740339044,1.3110194230397498,
122,5,1.1233497625229583,1.1233497625229583,1.1233497625229583,1.1233497625229583,1.1233497625229583,1.3110194230397498,
123,5,1.1301807132434794,1.1301807132434794,1.1301807132434794,1.1301807132434794,1.1301807132434794,1.3110194230397498,
124,5,1.1301807132434794,1.1301807132434794,1.1301807132434794,1.1301807132434794,1.1301807132434794,1.3195079107728942,
