iteration, destination,2->6,0->1,0->9,0->8,0->5,0->4,3->7,3->1,7->3,7->1,1->0,1->3,1->7,1->4,6->2,6->8,6->5,9->0,9->8,9->5,9->4,8->0,8->6,8->9,8->5,8->4,5->0,5->6,5->9,5->8,5->4,4->0,4->1,4->9,4->8,4->5,
28,9,1.0,1.0,29427.816602411796,1.0,1.0,1.0,25.202068056355376,1.0,25.202068056355376,1.0,1.0,1.0,1.0,25.202068056355376,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75895.57292094768,1.0,1.0,1.0,1.0,1.0,1.0,25.202068056355376,1.0,1.0,1.0,1.0,25.202068056355376,
29,9,1.0,1.0,29427.816602411796,1.0,1.0,1.0,25.202068056355376,1.0,25.202068056355376,1.0,1.0,1.0,1.0,25.202068056355376,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75895.57292094768,1.0,1.0,1.0,1.0,1.0,1.0,25.202068056355376,1.0,1.0,1.0,1.0,25.202068056355376,
30,9,1.0,1.0,29427.816602411796,1.0,1.0,1.0,25.202068056355376,1.0,25.202068056355376,1.0,1.0,1.0,1.0,25.202068056355376,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,75895.57292094768,1.0,1.0,1.0,1.0,1.0,1.0,25.202068056355376,1.0,1.0,1.0,1.0,25.202068056355376,
31,9,1.0,1.0,151.6643516110739,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,391.1487220653363,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
32,9,1.0,1.0,151.6643516110739,1.0,1.0,1.0,1.0,1.0,1.0,9100.438150002134,1.0,9100.438150002134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1381252.70765296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9100.438150002134,1.0,
33,9,1.0,1.0,151.6643516110739,1.0,1.0,1.0,1.0,1.0,1.0,9100.438150002134,1.0,9100.438150002134,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1381252.70765296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,9100.438150002134,1.0,
34,9,1.0,1.0,151.6643516110739,1.0,1.0,1.0,1.0,1.0,1.0,115231.0023164777,20.722728453107575,9100.438150002134,1.0,20.722728453107575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1381252.70765296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.722728453107575,1.0,9100.438150002134,1.0,
35,9,1.0,1.0,3469.546199739241,1.0,1.0,1.0,1.0,1.0,1.0,115231.0023164777,20.722728453107575,9100.438150002134,1.0,20.722728453107575,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1381252.70765296,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,20.722728453107575,1.0,9100.438150002134,1.0,
36,9,1.0,1.0,17.881261184867835,1.0,1.0,1.0,1.0,1.0,1.0,593.8746828533099,1.0,46.901612513231356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7118.665959745627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.901612513231356,1.0,
37,9,1.0,1.0,17.881261184867835,1.0,1.0,1.0,1.0,1.0,1.0,593.8746828533099,1.0,46.901612513231356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7118.665959745627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.901612513231356,1.0,
38,9,1.0,1.0,17.881261184867835,1.0,1.0,1.0,1.0,1.0,1.0,593.8746828533099,1.0,46.901612513231356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7118.665959745627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.901612513231356,1.0,
39,9,1.0,1.0,17.881261184867835,1.0,1.0,1.0,1.0,1.0,1.0,593.8746828533099,1.0,46.901612513231356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7118.665959745627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.901612513231356,1.0,
40,9,1.0,1.0,17.881261184867835,1.0,1.0,1.0,1.0,1.0,1.0,593.8746828533099,1.0,46.901612513231356,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,7118.665959745627,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,46.901612513231356,1.0,
41,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0606966167445036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.688004132530544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
42,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0606966167445036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.688004132530544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
43,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0606966167445036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.688004132530544,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
44,9,1.0,2225.048498325287,1.0,1.0,2225.048498325287,1.0,1.0,1.0,1.0,3.0606966167445036,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.688004132530544,1.0,1.0,2225.048498325287,1.0,2225.048498325287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
45,9,1.0,2225.048498325287,1.0,1.0,2225.048498325287,1.0,1.0,1.0,14.929827588798478,43.10967651552753,1.0,1.0,14.929827588798478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,36.688004132530544,1.0,1.0,2225.048498325287,1.0,2225.048498325287,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
46,9,1.0,11.4673997857537,1.0,1.0,11.4673997857537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.4673997857537,1.0,11.4673997857537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
47,9,1.0,11.4673997857537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.4673997857537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
48,9,1.0,11.4673997857537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.4673997857537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
49,9,1.0,11.4673997857537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,11.4673997857537,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
50,9,1.0,11.4673997857537,1.0,1.0,1.0,14.929827588798478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.929827588798478,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,14.929827588798478,1.0,11.4673997857537,1.0,1.0,14.929827588798478,1.0,1.0,1.0,1.0,
51,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
52,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
53,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
54,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,
55,9,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,54.714862600215326,1.0,1.0,1.0,54.714862600215326,1.0,1.0,1.0,1.0,1.0,54.714862600215326,
