status, source address, destination address, ttl, payload, FailureCondition
0, 1, 4, 18, Round 84, QUEUE_OVERFLOW
0, 0, 4, 18, Round 84, QUEUE_OVERFLOW
1, 1, 4, 18, Round 75
1, 0, 4, 18, Round 75
0, 2, 4, 18, Round 85, QUEUE_OVERFLOW
0, 2, 4, 18, Round 86, QUEUE_OVERFLOW
0, 1, 4, 18, Round 86, QUEUE_OVERFLOW
0, 0, 4, 18, Round 86, QUEUE_OVERFLOW
1, 2, 4, 18, Round 76
0, 1, 4, 18, Round 87, QUEUE_OVERFLOW
1, 0, 4, 18, Round 77
0, 0, 4, 18, Round 88, QUEUE_OVERFLOW
1, 0, 4, 18, Round 78
0, 1, 4, 18, Round 88, QUEUE_OVERFLOW
1, 0, 4, 18, Round 79
0, 0, 4, 18, Round 89, QUEUE_OVERFLOW
0, 2, 4, 18, Round 89, QUEUE_OVERFLOW
0, 0, 4, 18, Round 90, QUEUE_OVERFLOW
1, 0, 4, 18, Round 80
0, 1, 4, 18, Round 90, QUEUE_OVERFLOW
1, 1, 4, 18, Round 82
0, 2, 4, 18, Round 91, QUEUE_OVERFLOW
0, 1, 4, 18, Round 91, QUEUE_OVERFLOW
1, 0, 4, 18, Round 82
0, 0, 4, 18, Round 92, QUEUE_OVERFLOW
0, 1, 4, 18, Round 92, QUEUE_OVERFLOW
1, 2, 4, 18, Round 83
0, 0, 4, 18, Round 93, QUEUE_OVERFLOW
0, 1, 4, 18, Round 93, QUEUE_OVERFLOW
1, 0, 4, 18, Round 85
0, 1, 4, 18, Round 94, QUEUE_OVERFLOW
0, 0, 4, 18, Round 94, QUEUE_OVERFLOW
0, 0, 4, 18, Round 95, QUEUE_OVERFLOW
0, 2, 4, 18, Round 95, QUEUE_OVERFLOW
0, 1, 4, 18, Round 95, QUEUE_OVERFLOW
1, 1, 4, 18, Round 85
1, 0, 4, 18, Round 87
0, 2, 4, 18, Round 96, QUEUE_OVERFLOW
1, 2, 4, 18, Round 87
0, 1, 4, 18, Round 97, QUEUE_OVERFLOW
0, 0, 4, 18, Round 97, QUEUE_OVERFLOW
0, 2, 4, 18, Round 98, QUEUE_OVERFLOW
0, 0, 4, 18, Round 98, QUEUE_OVERFLOW
1, 2, 4, 18, Round 88
0, 2, 4, 18, Round 99, QUEUE_OVERFLOW
0, 1, 4, 18, Round 99, QUEUE_OVERFLOW
